predicted_p_adsorption_capacity_mg_g,energy_proxy,composite_objective,nearest_training_distance,support_distance_limit,combination_code,Modified or unmodified,Cross-linked or uncross-linked,modified_material_type,cross_linking_agent_type,Adsorbent dosage (g/L),Reactor temperature (℃),Initial P concentration (mg/L),Reaction time (min),Solution pH,Pore volume (cm³/g),BET surface area (m²/g),scenario,initial_p_constraint_mg_l,run
124.22079430679548,0.03770034601222066,-0.5983508281137163,0.09425753815701228,0.1785714285714285,1,1.0,1.0,2,1,0.34906779323819925,44.95546120484565,50.0,190.43382856563932,5.1702785040141235,1.037548818936354,109.88378499627956,Fixed 50 mg/L,50.0,5
118.51307641790514,0.04485094786427044,-0.5619748402458429,0.06552383953492602,0.1785714285714285,1,1.0,1.0,2,1,0.44336091330400795,45.011431715029886,50.0,225.91964478598072,5.121401601620994,0.6115397579572683,109.69094653744524,Fixed 50 mg/L,50.0,6
126.71335204895794,0.03764217863247266,-0.6111717079469331,0.11864947607686657,0.1785714285714285,1,1.0,1.0,2,1,0.6785868354766766,44.951852560905536,50.0,190.17440082671874,5.2780957363872725,1.3749453066781085,110.13367950769307,Fixed 50 mg/L,50.0,7
126.71335204895794,0.03788115284482049,-0.6109327337345852,0.07432228718187305,0.1785714285714285,1,1.0,1.0,2,1,0.6735284714626498,44.99387897772638,50.0,190.9794598142616,5.27550022014582,0.6203347202261387,109.63035215928645,Fixed 50 mg/L,50.0,8
125.57526176157974,0.037744597125552296,-0.6052418942291826,0.0835527764749921,0.1785714285714285,1,1.0,1.0,2,1,0.6704250731364377,44.96296715410022,50.0,190.5856659927544,5.192523139516624,0.8545605133033555,110.46973036432068,Fixed 50 mg/L,50.0,9
126.71335204895794,0.03787696810946636,-0.6109369184699394,0.09386150093136048,0.1785714285714285,1,1.0,1.0,2,1,0.6708173309176139,44.96087765989756,50.0,191.27407373999216,5.27728751557029,1.0414431459208031,110.91852674699817,Fixed 50 mg/L,50.0,10
139.55885308890294,0.0,-0.7145870613871118,0.036408703279886476,0.1785714285714285,9,1.0,1.0,8,1,0.5067396404496285,25.0,100.0,2776.277917321562,4.999984124967565,0.09615491098630795,27.41210154772022,Fixed 100 mg/L,100.0,1
139.55885308890294,0.0,-0.7145870613871118,0.0288561186496499,0.1785714285714285,9,1.0,1.0,8,1,0.5101866663086686,25.0,100.0,2880.0,5.0,0.09825215990205316,23.897591725933722,Fixed 100 mg/L,100.0,2
139.55885308890294,0.0,-0.7145870613871118,0.020444290940546596,0.1785714285714285,9,1.0,1.0,8,1,0.5001986599225414,25.0,100.0,2832.7944849510377,4.9995045059871375,0.09648172154526322,26.369862499135117,Fixed 100 mg/L,100.0,3
139.55885308890294,0.0,-0.7145870613871118,0.028697420895698357,0.1785714285714285,9,1.0,1.0,8,1,0.523872155855596,25.0,100.0,2874.0003897745537,4.997828367484024,0.09523749379416421,23.935721464155968,Fixed 100 mg/L,100.0,4
139.55885308890294,0.0,-0.7145870613871118,0.011631481214603258,0.1785714285714285,9,1.0,1.0,8,1,0.4998242455285996,25.0,100.0,2867.373798298125,5.0125793024627825,0.10003379018219502,26.589029328861557,Fixed 100 mg/L,100.0,5
139.86239733401027,0.0027963877814430244,-0.7133449196123628,0.018250543318884423,0.1785714285714285,2,1.0,1.0,28,3,0.23286565675215543,41.01452673385465,100.0,17.601262469628416,5.02001101845992,0.026413603707879034,118.47457562140991,Fixed 100 mg/L,100.0,6
139.55885308890294,0.0,-0.7145870613871118,0.022308812775169922,0.1785714285714285,9,1.0,1.0,8,1,0.5231981871869933,25.0,100.0,2880.0,5.0801336658727605,0.09844113347295282,25.08891119647736,Fixed 100 mg/L,100.0,7
139.55885308890294,0.0,-0.7145870613871118,0.02109788213620841,0.1785714285714285,9,1.0,1.0,8,1,0.5118807012542159,25.0,100.0,2863.5130517211337,5.011673538458006,0.09985446040440595,31.15207962005502,Fixed 100 mg/L,100.0,8
